# radial position[m]	 axial position[m]	 current[A]
0.01	-0.401	51.4014
0.01	0.402	47.6026
0.01	-0.402	47.6026
0.01	0.403	44.0689
0.01	-0.403	44.0689
0.01	0.404	40.785
0.01	-0.404	40.785
0.01	0.405	37.7359
0.01	-0.405	37.7359
0.01	0.406	34.9073
0.01	-0.406	34.9073
0.01	0.407	32.285
0.01	-0.407	32.285
0.01	0.408	29.8557
0.01	-0.408	29.8557
0.011	0.408	35.5475
0.011	-0.408	35.5475
0.012	0.408	41.5556
0.012	-0.408	41.5556
0.013	0.408	47.8208
0.013	-0.408	47.8208
0.014	0.408	54.2803
0.014	-0.408	54.2803
0.015	0.408	60.8677
0.015	-0.408	60.8677
0.016	0.408	67.5133
0.016	-0.408	67.5133
0.017	0.408	74.1451
0.017	-0.408	74.1451
0.018	0.408	80.6886
0.018	-0.408	80.6886
0.019	0.408	87.068
0.019	-0.408	87.068
0.02	0.408	93.2067
0.02	-0.408	93.2067
0.021	0.408	99.0277
0.021	-0.408	99.0277
0.022	0.408	104.455
0.022	-0.408	104.455
0.023	0.408	109.413
0.023	-0.408	109.413
0.024	0.408	113.83
0.024	-0.408	113.83
0.025	0.408	117.636
0.025	-0.408	117.636
0.026	0.408	120.766
0.026	-0.408	120.766
0.027	0.408	123.161
0.027	-0.408	123.161
0.028	0.408	124.766
0.028	-0.408	124.766
0.029	0.408	125.535
0.029	-0.408	125.535
0.03	0.408	125.429
0.03	-0.408	125.429
0.031	0.408	124.421
0.031	-0.408	124.421
0.032	0.408	122.49
0.032	-0.408	122.49
0.033	0.408	119.63
0.033	-0.408	119.63
0.034	0.408	115.844
0.034	-0.408	115.844
0.035	0.408	111.149
0.035	-0.408	111.149
0.036	0.408	105.573
0.036	-0.408	105.573
0.037	0.408	99.1603
0.037	-0.408	99.1603
0.038	0.408	91.966
0.038	-0.408	91.966
0.039	0.408	84.0594
0.039	-0.408	84.0594
0.04	0.408	75.5224
0.04	-0.408	75.5224
0.041	0.408	66.4493
0.041	-0.408	66.4493
0.042	0.408	56.9456
0.042	-0.408	56.9456
0.043	0.408	47.1269
0.043	-0.408	47.1269
0.044	0.408	37.1174
0.044	-0.408	37.1174
0.045	0.408	27.0482
0.045	-0.408	27.0482
0.046	0.408	17.0555
0.046	-0.408	17.0555
0.047	0.408	7.27761
0.047	-0.408	7.27761
0.048	0.408	-2.1466
0.048	-0.408	-2.1466
0.049	0.408	-11.0809
0.049	-0.408	-11.0809
0.05	0.408	-19.3943
0.05	-0.408	-19.3943
0.051	0.408	-26.9638
0.051	-0.408	-26.9638
0.052	0.408	-33.6772
0.052	-0.408	-33.6772
0.053	0.408	-39.4355
0.053	-0.408	-39.4355
0.054	0.408	-44.156
0.054	-0.408	-44.156
0.055	0.408	-47.7741
0.055	-0.408	-47.7741
0.056	0.408	-50.2452
0.056	-0.408	-50.2452
0.057	0.408	-51.5466
0.057	-0.408	-51.5466
0.058	0.408	-51.6784
0.058	-0.408	-51.6784
0.059	0.408	-50.6641
0.059	-0.408	-50.6641
0.06	0.408	-48.5505
0.06	-0.408	-48.5505
0.061	0.408	-45.4073
0.061	-0.408	-45.4073
0.062	0.408	-41.3261
0.062	-0.408	-41.3261
0.063	0.408	-36.4179
0.063	-0.408	-36.4179
0.064	0.408	-30.8118
0.064	-0.408	-30.8118
0.065	0.408	-24.6512
0.065	-0.408	-24.6512
0.066	0.408	-18.0909
0.066	-0.408	-18.0909
0.067	0.408	-11.2933
0.067	-0.408	-11.2933
0.068	0.408	-4.42436
0.068	-0.408	-4.42436
0.069	0.408	2.35068
0.069	-0.408	2.35068
0.07	0.408	8.8714
0.07	-0.408	8.8714
0.071	0.408	14.9865
0.071	-0.408	14.9865
0.072	0.408	20.5576
0.072	-0.408	20.5576
0.073	0.408	25.4631
0.073	-0.408	25.4631
0.074	0.408	29.6011
0.074	-0.408	29.6011
0.075	0.408	32.8924
0.075	-0.408	32.8924
0.076	0.408	35.282
0.076	-0.408	35.282
0.077	0.408	36.7405
0.077	-0.408	36.7405
0.078	0.408	37.2647
0.078	-0.408	37.2647
0.079	0.408	36.8771
0.079	-0.408	36.8771
0.08	0.408	35.6249
0.08	-0.408	35.6249
0.081	0.408	33.5781
0.081	-0.408	33.5781
0.082	0.408	30.8268
0.082	-0.408	30.8268
0.083	0.408	27.4781
0.083	-0.408	27.4781
0.084	0.408	23.6528
0.084	-0.408	23.6528
0.085	0.408	19.4807
0.085	-0.408	19.4807
0.086	0.408	15.0969
0.086	-0.408	15.0969
0.087	0.408	10.6371
0.087	-0.408	10.6371
0.088	0.408	6.23365
0.088	-0.408	6.23365
0.089	0.408	2.01112
0.089	-0.408	2.01112
0.09	0.408	-1.91714
0.09	-0.408	-1.91714
0.091	0.408	-5.45238
0.091	-0.408	-5.45238
0.092	0.408	-8.51305
0.092	-0.408	-8.51305
0.093	0.408	-11.0368
0.093	-0.408	-11.0368
0.094	0.408	-12.9816
0.094	-0.408	-12.9816
0.095	0.408	-14.3267
0.095	-0.408	-14.3267
0.096	0.408	-15.0718
0.096	-0.408	-15.0718
0.097	0.408	-15.2364
0.097	-0.408	-15.2364
0.098	0.408	-14.8581
0.098	-0.408	-14.8581
0.099	0.408	-13.9904
0.099	-0.408	-13.9904
0.1	0.408	-12.7
0.1	-0.408	-12.7
0.101	0.408	-11.0635
0.101	-0.408	-11.0635
0.102	0.408	-9.16413
0.102	-0.408	-9.16413
0.103	0.408	-7.08849
0.103	-0.408	-7.08849
0.104	0.408	-4.92288
0.104	-0.408	-4.92288
0.105	0.408	-2.75012
0.105	-0.408	-2.75012
0.106	0.408	-0.646554
0.106	-0.408	-0.646554
0.107	0.408	1.32051
0.107	-0.408	1.32051
0.108	0.408	3.09492
0.108	-0.408	3.09492
0.109	0.408	4.63323
0.109	-0.408	4.63323
0.11	0.408	5.90566
0.11	-0.408	5.90566
0.111	0.408	6.89635
0.111	-0.408	6.89635
0.112	0.408	7.60318
0.112	-0.408	7.60318
0.113	0.408	8.03681
0.113	-0.408	8.03681
0.114	0.408	8.21936
0.114	-0.408	8.21936
0.115	0.408	8.18254
0.115	-0.408	8.18254
0.116	0.408	7.9655
0.116	-0.408	7.9655
0.117	0.408	7.61235
0.117	-0.408	7.61235
