# radial position[m]	 axial position[m]	 current[A]
0.01	-0.402	48.9396
0.01	0.403	45.1832
0.01	-0.403	45.1832
0.01	0.404	41.7058
0.01	-0.404	41.7058
0.01	0.405	38.4892
0.01	-0.405	38.4892
0.01	0.406	35.5159
0.01	-0.406	35.5159
0.01	0.407	32.7693
0.01	-0.407	32.7693
0.01	0.408	30.2335
0.01	-0.408	30.2335
0.011	0.408	35.9528
0.011	-0.408	35.9528
0.012	0.408	41.9718
0.012	-0.408	41.9718
0.013	0.408	48.2274
0.013	-0.408	48.2274
0.014	0.408	54.6525
0.014	-0.408	54.6525
0.015	0.408	61.1768
0.015	-0.408	61.1768
0.016	0.408	67.7269
0.016	-0.408	67.7269
0.017	0.408	74.2275
0.017	-0.408	74.2275
0.018	0.408	80.6015
0.018	-0.408	80.6015
0.019	0.408	86.771
0.019	-0.408	86.771
0.02	0.408	92.658
0.02	-0.408	92.658
0.021	0.408	98.1853
0.021	-0.408	98.1853
0.022	0.408	103.277
0.022	-0.408	103.277
0.023	0.408	107.861
0.023	-0.408	107.861
0.024	0.408	111.867
0.024	-0.408	111.867
0.025	0.408	115.23
0.025	-0.408	115.23
0.026	0.408	117.89
0.026	-0.408	117.89
0.027	0.408	119.794
0.027	-0.408	119.794
0.028	0.408	120.897
0.028	-0.408	120.897
0.029	0.408	121.162
0.029	-0.408	121.162
0.03	0.408	120.56
0.03	-0.408	120.56
0.031	0.408	119.073
0.031	-0.408	119.073
0.032	0.408	116.695
0.032	-0.408	116.695
0.033	0.408	113.431
0.033	-0.408	113.431
0.034	0.408	109.295
0.034	-0.408	109.295
0.035	0.408	104.317
0.035	-0.408	104.317
0.036	0.408	98.5377
0.036	-0.408	98.5377
0.037	0.408	92.0094
0.037	-0.408	92.0094
0.038	0.408	84.7971
0.038	-0.408	84.7971
0.039	0.408	76.9768
0.039	-0.408	76.9768
0.04	0.408	68.6352
0.04	-0.408	68.6352
0.041	0.408	59.8686
0.041	-0.408	59.8686
0.042	0.408	50.7818
0.042	-0.408	50.7818
0.043	0.408	41.4863
0.043	-0.408	41.4863
0.044	0.408	32.0993
0.044	-0.408	32.0993
0.045	0.408	22.7414
0.045	-0.408	22.7414
0.046	0.408	13.5348
0.046	-0.408	13.5348
0.047	0.408	4.60123
0.047	-0.408	4.60123
0.048	0.408	-3.94
0.048	-0.408	-3.94
0.049	0.408	-11.9744
0.049	-0.408	-11.9744
0.05	0.408	-19.3945
0.05	-0.408	-19.3945
0.051	0.408	-26.1017
0.051	-0.408	-26.1017
0.052	0.408	-32.0083
0.052	-0.408	-32.0083
0.053	0.408	-37.0396
0.053	-0.408	-37.0396
0.054	0.408	-41.1352
0.054	-0.408	-41.1352
0.055	0.408	-44.2504
0.055	-0.408	-44.2504
0.056	0.408	-46.3575
0.056	-0.408	-46.3575
0.057	0.408	-47.4461
0.057	-0.408	-47.4461
0.058	0.408	-47.5241
0.058	-0.408	-47.5241
0.059	0.408	-46.6172
0.059	-0.408	-46.6172
0.06	0.408	-44.7686
0.06	-0.408	-44.7686
0.061	0.408	-42.0387
0.061	-0.408	-42.0387
0.062	0.408	-38.5034
0.062	-0.408	-38.5034
0.063	0.408	-34.2528
0.063	-0.408	-34.2528
0.064	0.408	-29.3898
0.064	-0.408	-29.3898
0.065	0.408	-24.0274
0.065	-0.408	-24.0274
0.066	0.408	-18.2868
0.066	-0.408	-18.2868
0.067	0.408	-12.2947
0.067	-0.408	-12.2947
0.068	0.408	-6.18078
0.068	-0.408	-6.18078
0.069	0.408	-0.0747666
0.069	-0.408	-0.0747666
0.07	0.408	5.8961
0.07	-0.408	5.8961
0.071	0.408	11.6098
0.071	-0.408	11.6098
0.072	0.408	16.9522
0.072	-0.408	16.9522
0.073	0.408	21.8193
0.073	-0.408	21.8193
0.074	0.408	26.1192
0.074	-0.408	26.1192
0.075	0.408	29.7744
0.075	-0.408	29.7744
0.076	0.408	32.7228
0.076	-0.408	32.7228
0.077	0.408	34.9193
0.077	-0.408	34.9193
0.078	0.408	36.3362
0.078	-0.408	36.3362
0.079	0.408	36.9635
0.079	-0.408	36.9635
0.08	0.408	36.8092
0.08	-0.408	36.8092
0.081	0.408	35.8986
0.081	-0.408	35.8986
0.082	0.408	34.2731
0.082	-0.408	34.2731
0.083	0.408	31.9896
0.083	-0.408	31.9896
0.084	0.408	29.1183
0.084	-0.408	29.1183
0.085	0.408	25.7412
0.085	-0.408	25.7412
0.086	0.408	21.9497
0.086	-0.408	21.9497
0.087	0.408	17.8426
0.087	-0.408	17.8426
0.088	0.408	13.5234
0.088	-0.408	13.5234
0.089	0.408	9.09785
0.089	-0.408	9.09785
